time,lat,lon,depth,time_out,Lat_out,Long_out,pres,temp,salt,lt1,lt2,lt3,dark,t0,pp,Cruise_ID,niskin_flag,UNOLS,CMAP_sea_water_temp_WOA_clim_tblWOA_Climatology,CMAP_density_WOA_clim_tblWOA_Climatology,CMAP_salinity_WOA_clim_tblWOA_Climatology,CMAP_nitrate_WOA_clim_tblWOA_Climatology,CMAP_phosphate_WOA_clim_tblWOA_Climatology,CMAP_silicate_WOA_clim_tblWOA_Climatology,CMAP_oxygen_WOA_clim_tblWOA_Climatology,CMAP_NO3_tblPisces_NRT,CMAP_PO4_tblPisces_NRT,CMAP_O2_tblPisces_NRT,CMAP_Si_tblPisces_NRT,CMAP_PP_tblPisces_NRT,CMAP_CHL_tblPisces_NRT,CMAP_PHYC_tblPisces_NRT
1996-03-15T00:00:00,31.669,-64.151,80.0,1996-03-15T00:00,,,,,36.679,4.36,,,0.24,0.24,4.12,1009008105,2,,19.38712279001872,26.497063954671223,36.61228434244792,0.3462017675240834,0.0614175274968147,1.032175680001577,5.161212046941121,2.9264218621963507,0.2325857340584459,227.2958372992162,3.20160951002223,0.0008406406555979,0.226819743779858,1.0229476601689391
1996-03-15T00:00:00,31.669,-64.151,100.0,1996-03-15T00:00,,,,,36.681,1.27,,,0.35,0.36,0.92,1009008106,2,,19.31855010986328,26.591675281524655,36.608999252319336,0.5330118760466576,0.059332313016057,1.0379793047904968,5.148275017738342,,,,,,,
1996-03-15T00:00:00,31.669,-64.151,120.0,1996-03-15T00:00,,,,,36.673,0.43,0.51,,0.34,0.48,0.12,1009008107,2,,19.192654609680176,26.74539375305176,36.59969520568848,0.8911609947681427,0.0543098710477352,1.0266618728637695,5.086800575256348,,,,,,,
1996-03-15T00:00:00,31.669,-64.151,140.0,1996-03-15T00:00,,,,,36.659,0.28,0.32,0.29,0.27,0.51,0.03,1009008108,2,,,,,,,,,,,,,,,
1996-03-28T00:00:00,31.668,-64.166,1.0,1996-03-28T00:00,,,,,36.727,12.4,12.27,14.89,0.58,0.76,12.61,2009008101,2,,19.693077564239506,26.06977653503418,36.63015365600586,0.269030537456274,0.0602838145568966,1.036069005727768,5.207340240478516,2.4748856588592747,0.1946646633482303,232.5517745146593,3.073367904971971,0.022809311794118,0.3384696031744255,2.3624995644030813
1996-03-28T00:00:00,31.668,-64.166,20.0,1996-03-28T00:00,,,,,36.725,16.2,17.68,17.68,0.66,0.83,16.52,2009008102,2,,19.62338320414225,26.165356000264484,36.62260182698568,0.2422500203053156,0.0656547707815965,0.9480586548646291,5.218880335489909,2.511189800208874,0.1980268451519442,232.1438297580584,3.0825464784565777,0.0146792681620429,0.3435905475068626,2.163107989607523
1996-03-28T00:00:00,31.668,-64.166,40.0,1996-03-28T00:00,,,,,36.724,13.79,13.43,14.47,0.79,0.51,13.1,2009008103,2,,19.53175640106201,26.274696350097656,36.6191151936849,0.2591355368494987,0.0662473291158676,1.0000677009423573,5.21110463142395,2.6305146723282524,0.2086739077836973,230.67572196758783,3.1166213219233114,0.0057947976569674,0.3232850650879393,1.6909931302070944
1996-03-28T00:00:00,31.668,-64.166,60.0,1996-03-28T00:00,,,,,36.716,12.66,13.96,13.15,0.65,1.2,12.6,2009008104,2,,19.454400062561035,26.38570880889893,36.615365982055664,0.2685355295737584,0.0652280809978644,1.018486589193344,5.185530344645183,2.736435533878641,0.2178126415741142,229.3574105340068,3.1479114712895275,0.0027509832107172,0.2882664904400878,1.3776601826824997
1996-03-28T00:00:00,31.668,-64.166,80.0,1996-03-28T00:00,,,,,36.687,4.76,5.21,4.8,0.69,0.69,4.23,2009008105,2,,19.38712279001872,26.497063954671223,36.61228434244792,0.3462017675240834,0.0614175274968147,1.032175680001577,5.161212046941121,2.9264218621963507,0.2325857340584459,227.2958372992162,3.20160951002223,0.0008406406555979,0.226819743779858,1.0229476601689391
1996-03-28T00:00:00,31.668,-64.166,100.0,1996-03-28T00:00,,,,,36.67,1.63,1.89,1.69,0.54,0.91,1.2,2009008106,2,,19.31855010986328,26.591675281524655,36.608999252319336,0.5330118760466576,0.059332313016057,1.0379793047904968,5.148275017738342,,,,,,,
